experiment,task,seed,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,ablation,run_dir,weight_bin,ece
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_0dd5793d,0,0.09030386783947757
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_0dd5793d,1,0.024879010766969266
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_0dd5793d,2,0.03189892019679251
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_1f3c72e3,0,0.06543395181568265
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_1f3c72e3,1,0.0014859220752178742
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_1f3c72e3,2,0.024753958503958447
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_21a0127f,0,0.1641986274392881
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_21a0127f,1,0.08307752179459749
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_21a0127f,2,0.03607902547163564
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_2256d0e9,0,0.09030386783947757
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_2256d0e9,1,0.02537256002290838
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_2256d0e9,2,0.0299295030638314
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_3a71610e,0,0.11339036619197945
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_3a71610e,1,0.1658564324955435
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_3a71610e,2,0.134410053278762
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_4325dfc4,0,0.06543395181568265
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_4325dfc4,1,0.0014859220752178742
