experiment,task,seed,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,run_dir,bin_type,region,bin_id,mean_delta,ci95,n
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_20e844e1,density,in,0,0.05036434267198207,0.012690526489666726,38
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_20e844e1,density,in,1,0.040822151500796926,0.01481527978745134,38
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_20e844e1,density,in,2,0.08868002047062272,0.03525279635563509,39
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_20e844e1,density,out,0,0.39553230282406643,0.023844999666454078,38
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_20e844e1,density,out,1,0.3894931418315695,0.023821148547106305,38
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_20e844e1,density,out,2,0.5091984708629687,0.03703292245450649,39
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_20e844e1,eta,in,0,0.03778481012658228,0.0,1
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_20e844e1,eta,in,1,0.05725699260995407,0.01807870495175359,44
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_20e844e1,eta,in,2,0.06237878702793322,0.020063158159028427,70
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_20e844e1,eta,out,0,0.39365603203306637,0.0,1
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_20e844e1,eta,out,1,0.40977957777867347,0.020853162575140305,44
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_20e844e1,eta,out,2,0.4466535686610748,0.028816978721487353,70
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2b75a2e2,density,in,0,0.0966058807243828,0.020910703108805346,34
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2b75a2e2,density,in,1,0.05747864552797864,0.018995556253020008,34
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2b75a2e2,density,in,2,0.0915197622309522,0.02786056625787894,38
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2b75a2e2,density,out,0,0.5991403175670813,0.037607645795804084,34
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2b75a2e2,density,out,1,0.6384541200141749,0.023301114286381867,34
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2b75a2e2,density,out,2,0.6150946672595952,0.037929271851560066,38
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2b75a2e2,eta,in,1,0.10651528433944706,0.02982547959888278,35
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2b75a2e2,eta,in,2,0.0702618296545891,0.013675423548649496,71
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2b75a2e2,eta,out,1,0.5888895607239919,0.04104058677318943,35
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2b75a2e2,eta,out,2,0.6315587832153184,0.02081187882709331,71
ce_paper_core_v1,classification,0,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_c2f4aa4f,density,in,0,0.10863333160299007,0.024779324106228146,32
ce_paper_core_v1,classification,0,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_c2f4aa4f,density,in,1,0.08894678329180511,0.0336226078350686,32
ce_paper_core_v1,classification,0,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_c2f4aa4f,density,in,2,0.08907416762320508,0.035297561349582854,47
ce_paper_core_v1,classification,0,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_c2f4aa4f,density,out,0,0.5695282617639211,0.03674045333786099,32
ce_paper_core_v1,classification,0,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_c2f4aa4f,density,out,1,0.619942281365786,0.03785837370032255,32
ce_paper_core_v1,classification,0,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_c2f4aa4f,density,out,2,0.5581152623874306,0.041233645990864834,47
ce_paper_core_v1,classification,0,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_c2f4aa4f,eta,in,0,0.5529069767441861,0.0,1
ce_paper_core_v1,classification,0,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_c2f4aa4f,eta,in,1,0.1264897794118813,0.03682387643094448,39
ce_paper_core_v1,classification,0,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_c2f4aa4f,eta,in,2,0.07074705888896515,0.01638210640217267,71
ce_paper_core_v1,classification,0,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_c2f4aa4f,eta,out,0,0.5560404711567503,0.0,1
ce_paper_core_v1,classification,0,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_c2f4aa4f,eta,out,1,0.5683304476728122,0.04205874229516299,39
