experiment,task,dims,n_train,n_cal,n_test,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,ablation,explanation_type,bin_type,metric,slope_shift,slope_holes
ce_paper_core_v1,classification,2,2000,100,2000,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,density,stability_exact,0.0,0.0
ce_paper_core_v1,classification,2,2000,100,2000,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,eta,stability_exact,0.0,0.0
ce_paper_core_v1,classification,2,2000,100,2000,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,density,stability_exact,0.0,0.0
ce_paper_core_v1,classification,2,2000,100,2000,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,eta,stability_exact,0.0,0.0
ce_paper_core_v1,classification,2,2000,400,2000,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,density,stability_exact,0.0,0.0
ce_paper_core_v1,classification,2,2000,400,2000,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,eta,stability_exact,0.0,0.0
ce_paper_core_v1,classification,2,2000,400,2000,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,density,stability_exact,0.0,0.0
ce_paper_core_v1,classification,2,2000,400,2000,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,eta,stability_exact,0.0,0.0
ce_paper_core_v1,classification,2,2000,100,2000,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,,util_auc_de,-0.021000000000000185,-0.000200000000000089
ce_paper_core_v1,classification,2,2000,100,2000,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,,util_auc_de,-0.04460937500000012,0.021093750000000133
ce_paper_core_v1,classification,2,2000,400,2000,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,,util_auc_de,0.000953124999999444,-0.0031812500000000243
ce_paper_core_v1,classification,2,2000,400,2000,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,,util_auc_de,-0.023187499999999805,0.0028999999999996806
