experiment,task,seed,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,ablation,run_dir,delta_ece_weight_high_low,faith_delta_density_in,faith_delta_density_out,faith_delta_eta_in,faith_delta_eta_out,auc_adv_de_vs_eta,auc_adv_de_vs_random,stability_delta_density,stability_delta_eta
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_20e844e1,-0.0031678902378150103,0.03831567779864065,0.11366616803890223,0.024593976901350942,0.052997536628008435,-0.03208125000000006,-0.011831250000000015,0.0,0.0
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_2b75a2e2,-0.03938874371920666,-0.005086118493430589,0.01595434969251386,nan,nan,-0.026456250000000014,0.00013124999999991616,0.0,0.0
ce_paper_core_v1,classification,0,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_c2f4aa4f,-0.06504715355447846,-0.019559163979784994,-0.01141299937649054,-0.48215991785522094,0.02950244126527002,-0.028368749999999998,-0.0075187500000000185,0.0,0.0
ce_paper_core_v1,classification,0,2,2000,100,2000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_eeb30850,-0.03125089214990831,0.021270754784293786,0.08785127618734034,0.020115221273778086,0.03253283614106517,-0.02894999999999992,-0.0055312499999999876,0.0,0.0
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modelrf_19a0439e,-0.037538694288871216,0.01960668628406398,-0.04425575546533178,nan,nan,0.005531249999999932,0.03564375000000003,0.0,0.0
ce_paper_core_v1,classification,0,2,2000,100,2000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modelrf_64e8739e,-0.046261850402671285,-0.02762448260565392,-0.054372479642795624,nan,nan,-0.01501874999999997,0.010481249999999998,0.0,0.0
ce_paper_core_v1,classification,0,2,2000,100,2000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modelrf_b00e8542,-0.03840935767919462,0.009350912826551969,0.030882886483664218,nan,nan,-0.008643750000000061,0.018675000000000053,0.0,0.0
ce_paper_core_v1,classification,0,2,2000,100,2000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modelrf_e7ac79e4,-0.026939870833233154,0.013431992269011012,-0.0513636694848304,nan,nan,0.004668749999999999,0.025406249999999964,0.0,0.0
ce_paper_core_v1,classification,0,2,2000,400,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal400_modeldt_1ea601db,-0.017800371393975764,0.06545736538410561,-0.011196215712315216,-0.3068772059765056,-0.1394365707123103,-0.015562500000000035,0.010124999999999995,0.0,0.0
ce_paper_core_v1,classification,0,2,2000,400,2000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal400_modeldt_391bc03c,-0.012590087970200378,0.07709180583969127,-0.14088350389609683,-0.40961194400817474,-0.1957990474978798,-0.008175000000000043,0.013331249999999906,0.0,0.0
