experiment,task,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,mean_ece,ci95,n
ce_paper_core_v1,classification,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.42770833333333336,0.012074696673104247,12
ce_uncertainty_v1,classification,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.4236666666666667,0.013199075342575705,12
ce_uncertainty_v1,classification,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.41022222222222227,0.024113173388506905,9
ce_uncertainty_v1,classification,2,1000,100,1000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.4362083333333333,0.008087999137642464,12
ce_uncertainty_v1,classification,2,1000,100,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.42491666666666666,0.009512804395904895,12
ce_uncertainty_v1,classification,2,1000,100,1000,0.0,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.4204444444444444,0.02526574209194714,9
ce_uncertainty_v1,classification,2,1000,100,1000,0.0,large,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.41044444444444445,0.02000179522807088,9
ce_uncertainty_v1,classification,2,1000,100,1000,0.2,large,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.4076666666666667,0.015136338908585368,9
ce_uncertainty_v1,classification,2,1000,100,1000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.4267916666666667,0.01699656871937167,12
ce_uncertainty_v1,classification,2,1000,100,1000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.4154583333333333,0.018202475598920416,12
ce_uncertainty_v1,classification,2,1000,100,1000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.4182083333333333,0.019200005280670576,12
ce_uncertainty_v1,classification,2,1000,100,1000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.4007500000000001,0.021558818838168518,12
ce_uncertainty_v1,classification,2,1000,200,1000,0.0,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.39188888888888884,0.006933067658727551,9
ce_uncertainty_v1,classification,2,1000,200,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.41233333333333333,0.014714511355952118,9
ce_uncertainty_v1,classification,2,1000,200,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.43088888888888893,0.009368242123996765,9
ce_uncertainty_v1,classification,2,1000,200,1000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.4377777777777777,0.006531518266390886,9
ce_uncertainty_v1,classification,2,1000,200,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.386,0.006533333333333334,9
ce_uncertainty_v1,classification,2,1000,200,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.4175555555555556,0.011368333754147038,9
ce_uncertainty_v1,classification,2,1000,200,1000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.42966666666666664,0.01406564609251918,9
ce_uncertainty_v1,classification,2,1000,200,1000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.4155555555555555,0.019646525028080983,9
ce_uncertainty_v1,classification,2,1000,200,1000,0.0,large,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.42433333333333334,0.00916414995754895,9
ce_uncertainty_v1,classification,2,1000,200,1000,0.2,large,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.41311111111111115,0.009969727759820635,9
ce_uncertainty_v1,classification,2,1000,200,1000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.40155555555555555,0.021515683972166074,9
ce_uncertainty_v1,classification,2,1000,200,1000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.4277777777777778,0.011086364887543304,9
ce_paper_core_v1,classification,2,2000,400,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.4331666666666667,0.019635356998141045,3
ce_paper_core_v1,classification,2,2000,400,2000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.42083333333333334,0.02266981938858598,3
ce_paper_core_v1,classification,2,2000,400,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.43333333333333335,0.0034571150464577345,3
ce_paper_core_v1,classification,2,2000,400,2000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.42,0.0037102201192561533,3
ce_paper_core_v1,classification,2,2000,400,2000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.4028333333333333,0.017588505084603176,3
ce_paper_core_v1,classification,2,2000,400,2000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.42,0.0029399999999999843,3
ce_paper_core_v1,classification,2,2000,400,2000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.4346666666666667,0.00907639673977388,3
ce_paper_core_v1,classification,2,2000,400,2000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",0.4131666666666667,0.03861719536395384,3
