experiment,task,seed,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,ablation,threshold,ece,brier
ce_uncertainty_v1,thresh_reg,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,t=-0.5374,0.10405743358873867,0.08684407955066005
ce_uncertainty_v1,thresh_reg,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,t=0.4016,0.38147568774437624,0.12256250491776595
ce_uncertainty_v1,thresh_reg,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,t=1.159,0.6664048941859422,0.09452580766228857
ce_uncertainty_v1,thresh_reg,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,t=-0.6779,0.10259941457350057,0.08766621001776448
ce_uncertainty_v1,thresh_reg,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,t=0.2342,0.365120704269326,0.11625226056534227
ce_uncertainty_v1,thresh_reg,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,t=1.032,0.6615882553315554,0.09417394583043247
ce_uncertainty_v1,thresh_reg,0,2,1000,100,1000,0.0,large,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,t=-0.6779,0.10779151655060007,0.10019072952205468
ce_uncertainty_v1,thresh_reg,0,2,1000,100,1000,0.0,large,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,t=0.2342,0.36526040373911994,0.12782956879403465
ce_uncertainty_v1,thresh_reg,0,2,1000,100,1000,0.0,large,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,t=1.032,0.6244121397741222,0.10167866766483476
ce_paper_core_v1,thresh_reg,0,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",,split_cp,0.1,interval_map,"""auto""",40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,t=-0.5421,0.0991836442462783,0.0922361787994979
