experiment,task,dims,n_train,n_cal,n_test,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,ablation,explanation_type,bin_type,metric,slope_shift,slope_holes
ce_uncertainty_v1,classification,2,1000,100,1000,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,,rule_ece,0.00754631072603585,0.007564130197243821
ce_uncertainty_v1,classification,2,1000,100,1000,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,,rule_ece,0.015178903194262277,0.010159749756170788
ce_uncertainty_v1,classification,2,1000,200,1000,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,,rule_ece,0.015860920837681182,0.004316488295212977
ce_uncertainty_v1,classification,2,1000,200,1000,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,,rule_ece,0.015426328187411135,0.00034072804113001914
ce_uncertainty_v1,classification,2,1000,50,1000,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,,rule_ece,0.0033776491324129937,0.007807551974458597
ce_uncertainty_v1,classification,2,1000,50,1000,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,,rule_ece,0.003349519144055131,0.007550236720461217
ce_uncertainty_v1,classification,2,1000,100,1000,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,density,stability_exact,0.0,0.0
ce_uncertainty_v1,classification,2,1000,100,1000,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,eta,stability_exact,0.0,0.0
ce_uncertainty_v1,classification,2,1000,100,1000,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,density,stability_exact,0.0,0.0
ce_uncertainty_v1,classification,2,1000,100,1000,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,,eta,stability_exact,0.0,0.0
